cluster,stage,n,frac,cluster_size
0,E80,1526,0.40263852242744064,3790
0,E825,789,0.20817941952506597,3790
0,E95,731,0.19287598944591028,3790
0,E105,744,0.19630606860158312,3790
1,E80,451,0.14115805946791862,3195
1,E825,155,0.048513302034428794,3195
1,E95,860,0.26917057902973396,3195
1,E105,1729,0.5411580594679186,3195
2,E80,685,0.2645809192738509,2589
2,E825,283,0.1093086133642333,2589
2,E95,972,0.37543453070683663,2589
2,E105,649,0.2506759366550792,2589
3,E80,22,0.009247583018074821,2379
3,E825,122,0.05128205128205128,2379
3,E95,538,0.22614543926019337,2379
3,E105,1697,0.7133249264396805,2379
4,E80,1079,0.6251448435689455,1726
4,E825,564,0.3267670915411356,1726
4,E95,75,0.043453070683661645,1726
4,E105,8,0.004634994206257242,1726
5,E80,1516,0.9967126890203813,1521
5,E825,5,0.003287310979618672,1521
6,E80,950,0.7877280265339967,1206
6,E825,244,0.2023217247097844,1206
6,E95,12,0.009950248756218905,1206
7,E80,563,0.4982300884955752,1130
7,E825,240,0.21238938053097345,1130
7,E95,131,0.11592920353982301,1130
7,E105,196,0.17345132743362832,1130
8,E80,6,0.005870841487279843,1022
8,E825,7,0.00684931506849315,1022
8,E95,127,0.12426614481409001,1022
8,E105,882,0.863013698630137,1022
9,E825,1,9.861932938856016e-4,1014
9,E95,2,0.0019723865877712033,1014
9,E105,1011,0.9970414201183432,1014
10,E80,197,0.24936708860759493,790
10,E825,336,0.4253164556962025,790
10,E95,41,0.05189873417721519,790
10,E105,216,0.27341772151898736,790
11,E80,210,0.3008595988538682,698
11,E825,21,0.03008595988538682,698
11,E95,297,0.42550143266475643,698
11,E105,170,0.24355300859598855,698
12,E80,15,0.027777777777777776,540
12,E825,5,0.009259259259259259,540
12,E95,155,0.28703703703703703,540
12,E105,365,0.6759259259259259,540
13,E80,306,0.6891891891891891,444
13,E825,129,0.2905405405405405,444
13,E95,9,0.02027027027027027,444
14,E95,24,0.1276595744680851,188
14,E105,164,0.8723404255319149,188
